title,price,address
每層只有1間房，18坪獨立套房,13000元,中山東路四段
自強六路一樓金店面出租,30000元,自強六路
超近~元智大學套房可談,8500元,興仁路二段
萬能科大1房1廳,12000元,萬大路
高鐵A18棧(可寵物)ꕤ力璞棧全配精美大三房車,32000元,青商路
青埔國中(可寵物戶籍)ꕤ璟都HOME1三房雙車位,30000元,永園路
高鐵A18ꕤ可租屋補助ꕤ佳瑞M+全配三房可單或雙車,33500元,高鐵站前西路二段
❗️全新套房出租❗中壢龍岡路大坪數套房全新整理可租,8500元,龍岡路三段
金璽傳家 興仁路二段 金店面,23000元,興仁路二段
藍海地國-綠景苑 - 全新超美景觀三房車,32800元,山大二路
近元智大學、內壢工業區、內壢火車站,11000元,中華路一段
小許✔️中原大學✔️有機車位✔️超值套房✔️有沙發,5500元,日新路
可入籍租補．內壢全新百萬美裝大四房含車管,41000元,自立五街
內壢工業區旁透天整棟5房住辦皆可,40000元,中華路一段
A19捷運共構、高樓層精緻景觀獨立套房,24500元,高鐵南路二段
A18知名優質社區豪華氣派全配3+1房,36000元,青商路
A19捷運共構~高樓層景觀全配獨立套房,25000元,高鐵南路二段
A18高鐵站前溫馨全配獨套+車,23000元,高鐵站前東路一段
青埔A19站星空夜景景觀戶全配2房,28000元,高鐵南路二段
中壢交流道旁~氣派豪華5房4套房住辦皆可有電梯,46000元,五族三街
A18高鐵站前【站前新銳】全新溫馨2房+車,25800元,青心路
高鐵站前~如裝潢屋精美全配3房車,32000元,青境路
超大套房-中壢後站南亞科大/龍昌路/體育園區免仲費,6600元,龍川二街
高鐵桃園站 青埔最前緣,25000元,青心路
小許✨中原電梯套房✨浴室開窗✨有洗衣機✨室內機車位,5500元,力行北街
元智大學內壢火車站電梯大套房有陽台附有機車位可停,8000元,榮民路
中原商圈、環中東路，有電梯，通風採光優，垃圾集中,8500元,振興街
合浦街 近健行科大，東興國中，信義國小，可租補,6000元,合浦街
超美套房 有陽台+個人洗衣機 流理台,9000元,少康二街
近中壢夜市✨河岸景觀✨小資價格✨可租補可貓,4500元,光輝街
SOGO商圈、A22捷運，獨立陽台洗衣機，有流理台,7500元,慈惠三街
清雲租屋‧自忠街 麗緻套房 優雅美觀,6000元,自忠街
中壢後站 美套房 附個人洗衣機+大面窗採光佳,6500元,志航街
近中壢工業區、全新超大套房、大陽台獨立洗衣機,10500元,復華街
中原大學 電梯樓中樓套房 有陽台+洗衣機,9500元,中山東路一段
中壢夜市旁 超優質陽台+洗衣機套房,7500元,民權路
中壢後站 優質陽台+個人洗衣機套房,6500元,志航街
近忠孝路 全新陽台洗衣機大套房,9000元,正神路
榮民路上近內壢工業區及火車站,5000元,榮民路
中壢正一房一廳 有附個人洗衣機,12000元,崁頂路
林森國小旁 樓下就是公園 摩托車好停,10000元,少康二街
●小林租屋● 內壢工業區 西園路近交流道 汽車好停,7500元,西園路
中壢後站大套房 全新變頻冷氣,5000元,吉長街
小劉租屋～機能佳獨立陽台套房,7000元,五光三街
中壢後火車站毛小孩超美套房,7500元,寶慶街
小劉租屋～優質樓中樓近中壢夜市交流道,8500元,五光三街
中壢工業區 超美陽台+個人洗衣機套房,7500元,西園路
【小許推薦】南亞獨立陽台✨可養寵物套房,7500元,龍昌路
近sogo及威尼斯 最精華的地段 最高的CP值套房,5500元,慈惠二街
力耀房屋 超優質獨立陽台洗機 設計師設計,7000元,德育路
內壢工業區 大空間套房 附個人洗衣機 採光佳,6500元,吉利六街
元智 電梯獨立套房 台電計費 飯店式管理,7500元,興仁路二段
中壢後站 超美麗套房 有陽台+個人洗衣機,9500元,寶慶街
【力耀房屋】小劉租屋 飯店式套房 近中原夜市,8000元,實踐路
(可租補)中壢火車站精緻一房一廳，可住可辦一房兩用,12500元,中平路
近日月光、超美套房、設備新,7000元,復華街
近中壢夜市 正一房一廳 優質美套房,14000元,光輝街
清雲租屋．健行路56巷優質透天套房 樓下可停摩托車,5500元,健行路
小劉租屋～精選華麗套房～,9000元,慈惠三街
南亞科大 漂亮套房/附摩托車位/磁卡管控/監視器,6500元,龍東十二街
超大樓中樓套房 大露台 可寵物,16000元,中北路二段
中原大學優質陽台獨立洗衣機套房,6500元,大勇三街
健行科大旁電梯大套房，室內機車位，免追垃圾車,6200元,龍山街
小許✔️中原電梯獨洗套房✔️可貓可補助✔️有機車位,11000元,協同街
近中原火車站及中原大學 超美套房,12000元,永康三街
近中壢工業區 新生路及SOGO 優質全新大套房,8000元,南園二路
近中壢後站 超大陽台 可養寵物,13000元,中北路二段
元智大學旁優質個人洗衣機套房 近公園,5500元,興仁路一段
內壢工業區 低樓層套房,5500元,文成北街
小劉租屋～優質中壢前站大套房 歐式 大電視,9000元,永樂路
近捷運站、超美3房 傢俱電可談,25000元,文發路
中壢火車站、中原商圈，電梯大套房附機車位,8000元,中山東路一段
近中壢後站、健行科大 優質大套房 大露台✚流理台,9500元,東林二街
中原大學旁 裝潢美套房/變頻冷氣/ 可寵,6000元,力行北街
近元智大學、興仁公園 大陽台套房,7500元,興仁路一段
近中原大學、中壢後火車站 超美套房,5500元,利民路
南亞科大旁 一樓大空間套房,5000元,中山東路三段文化新村
中壢後站　自忠街獨立洗衣機套房,6000元,自忠街
近中壢後站及大潤發、莒光公園,6500元,利民路
力耀房屋 學生最愛小資族最愛,5000元,實踐路
小許✨中原電梯套房✨限七月預定可租補✨變頻冷氣,7000元,日新路
近健行，東興，信義，火車站，正一房一廳有陽台,9500元,桂林街
中壢後火車站 近健行科大 超美套房 生活機能佳,6600元,東林二街
近中壢後站、健行科大 低樓層,4500元,健行路
【小許推薦】小資首選個人套房✨近火車站漂亮屋況,4500元,永康三街
中原大學正一房一廳大套房,7500元,協同街
中壢後火車站 全新套房 間間都有個人洗衣機,8500元,中北路二段
小許✨中原公寓套房✨採光很好✨有洗衣機,6000元,大仁四街
近南亞技術學院、忠貞市場，實木地板美裝潢，坪數大,6000元,龍川六街
近健保局，龍岡士校，創新科大可租補,5000元,龍昌路
小許✨南亞一樓套房✨小資族省錢首選！！,4500元,中山東路三段文化新村
中原大學 三和三街電梯套房 近中原夜市,5000元,三和三街
中華路黃金店面,40000元,中華路一段
南亞科大旁 全新整理套房 附摩托車位*1,6500元,龍東十二街
中原商圈全新電梯優質套房,5500元,大勇一街
中壢火車站、巷內一樓工作室,18000元,自忠街
近中原大學 警衛管理/個人洗衣機/地下室摩托車位,5500元,中山東路一段
【小許推薦】南亞/龍岡大套房✨木地板+機車位,5500元,中山東路三段文化新村
小許✨限七月學生✨有警衛+代收垃圾✨超大7房家庭式,33000元,幸福街
近元智大學及日月光 優質電梯套房,6500元,榮民路
小劉租屋～中壢前站歐式大套房大電視,9000元,永樂路
中壢火車站市區旁2樓陽台套房/有獨洗/限女性承租,8000元,永樂路
中原大學超安靜優質個人套房,4000元,協同街
中壢夜市租屋　民權路24Ｘ號4樓　生活機能佳,5500元,民權路
近中原大學 夜市 超美套房 採光佳,5500元,力行北街
世界極A18,20000元,高鐵北路二段
全新獨立套房 /萬能 /大江 /青埔 /中壢工業區,9500元,萬大路
中原大學優質低樓層全新整理套房,5000元,大仁街
小許✔️中壢工業區✔️全新樓中樓✔️可租補可貓✔️,13000元,吉利十街
近未來體育園區大空間,28000元,環中東路二段
中原大學大潤發旁 大面採光 室內摩托車位,7500元,民享街
南亞科技大學 近龍岡萬坪公園 電梯套房,4000元,龍東路
近中原大學 電梯套房 有獨立洗衣機+電梯+垃圾集中,6500元,中山東路二段
中山東路家樂福旁透天,35000元,龍興路
近中原大學~健行科大~家樂福~大坪數電梯寵物套房,7000元,環中東路二段
近元智大學、興仁公園 低樓層套房,5000元,興安二街
小許✨中原大學✨家庭四房✨有廚房陽台,18000元,大仁四街
南亞技術學院、忠貞市場，全新冷氣及床墊，小資美套房,4800元,龍川六街
中壢高中～新明觀光夜市,6500元,中明路
南亞科技大學 近龍岡萬坪公園 全新電梯套房,4500元,龍東路
近元智大學及內壢工業區 室內空間大/採光優,5000元,興安二街
中原大學✨學生7月預定可租補✨多間歡迎來電了解,5500元,協同街
新明觀光夜市～中壢高中,17000元,中央西路二段
仁海宮旁店面,19800元,延平路
中原至尊美復式屋套房,10000元,中山東路一段
中壢世紀宮廷三房車\高樓景觀佳、採光充足、全新整理,28500元,慈惠三街
可補助神龕．全新稀有電梯別墅高質感日式美居,20000元,中山東路二段
萬能科技大學旁/學生電梯套房/租補可談,9500元,中園路二段
近中原大學夜市、乾淨明亮、門口可停車,5500元,民治二街
青埔IKEA 全新未住過 傢電齊全,25000元,青峰路一段
全新挑高廠房~三角窗大面寬有多個馬頭及客梯 貨梯,1200000元,北園路
家樂福旁鼎藏青昕店面,35000元,龍慈路
2房❤️2衛❤️南亞❤️中山東路三段,15000元,中山東路三段
青埔A19鈔值大店面,60000元,領航南路一段
中壢火車站精美辦公,11400元,中山路
新潤君頤高樓層兩房兩衛,26000元,青商路
近環中市場大３房,21000元,環中東路
中壢後火車站旁全新整龍門天下開放式商辦,28000元,中北路二段
中原大學旁電梯溫馨套房(獨立洗衣機),6500元,新中北路
【森禾】鄰近青埔A19景觀兩房,17000元,聖德路二段
自強六路金店面,30000元,自強六路
站前新銳美兩房車,24000元,青心路
【森禾】站前新銳高樓層三房車,35000元,青心路
內壢火車站精忠國宅景觀3房,19500元,精忠二街
青埔良茂永恆詠美館2房車,26800元,領航南路二段
【森禾】站前新銳輕裝潢三房車,35000元,青心路
站前新銳二房車(C11),22000元,青心路
桃園市中壢區 A21中壢SOGO商圈兩房,23000元,環北路
體育園區旁電梯3房,22000元,龍慈路
(可租補)中原家樂福稀有三房,22000元,龍慈路
站前新銳2房車,25000元,青心路
青埔A18㊝高鐵站前第一排~京懋睿和3+1房雙車位,65000元,領航南路三段
青埔✨近A19@環球購物中心@美裝潢3房車~含管✨,32000元,永裕路
中壢工業區❗企業總部-辦公店面廠房❗4層樓,800000元,中華路二段
❤️元智大學旁大3房.生活機能好,20000元,興仁路二段
*青埔精美2房*,27000元,青商路
站前新銳近高鐵２房車位,25800元,青心路
湖映左岸稀有黃金角店,120000元,仁福五街
中壢夜市套房D,7000元,中明路
火車站信義國小店地,12000元,桃園市中壢區福州路
中壢夜市套房B,6500元,中明路
青埔A18中悅ITC商辦A6戶,132000元,領航南路三段
過嶺２房車位,50000元,松智二街
青埔A18中悅ITC商辦A3戶,120000元,領航南路三段
青埔A18中悅ITC商辦,185000元,領航南路三段
(青埔A18)青商路兩房兩衛浴含車位,27000元,青商路
中壢SOGO商圈黃金店面,100000元,元化路
站前新銳三房車(D8),35000元,青心路
內壢火車站 普忠大道3房+車位景觀露台戶,28000元,普忠路
站前新銳三房車(D7),35000元,青心路
冠世界舒適採光三房,26000元,中園路
青埔Ａ１８雙車位事務所,35000元,青商路
✴️租-龍岡富旺新世紀金店面✴️,28000元,龍昌路
內壢中華路上包水包電稀有套房,8000元,中華路一段
冠世界大面寬邊間店面,32000元,中園路
中壢工業區松江北路廠房,630000元,松江北路
太子鳳凰城高樓雅緻三房,21000元,金鋒四街
青埔時尚苑店面出租,42000元,青峰路二段
⭐️可貓+可租補~含車館⭐️青埔商圈~優質美3房車,28000元,青商路
✨可貓+可租補~含車館✨青埔商圈~優質美3房車,28000元,青商路
含車含管✨A18商圈~優質社區~正3房車~✨,32000元,青商路
含車含管⭐️A18商圈~優質社區~正3房車~⭐️,32000元,青商路
＊青塘園金店面＊,382000元,洽溪路
*國家大院黃金店面*,53000元,青昇路
*國家大院1+2黃金店面*,115000元,青峰路一段
南亞2房電梯,15000元,中山東路三段
出租：青埔明日朗朗3房平車,32000元,永泰路
離塵不離城悠閒兩房車位,22000元,月眉二路
中壢925乙工廠房,700000元,後興路一段
中壢工業區漂亮廠房出租,320000元,中園路
青埔A18景觀三房車,26000元,永昌路
阿華~青埔高鐵A18高樓層3房車含管,32000元,領航南路三段
中壢台31挑高倉庫廠房/A棟,110000元,中正路四段
中壢台31挑高倉庫廠房/B棟,245000元,中正路四段
蜜蜂 桃園中壢忠貞市場全新家具美寓2房（可租補）,23000元,龍平三街
可申請租補可寵含管全新交屋未入住A18高鐵站站前新,25000元,青心路
內壢環中商圈雅房,5000元,榮民路
近海華三房有車位,20000元,福州二街
⭐小吳好宅⭐出租近大崙(高鐵南路三段)前院停車透天,21000元,福祥路
站前新銳,25000元,青心路
【神馬】租-站前新銳全新兩房車,26000元,青心路
雙子星高樓三房車位,88000元,高鐵南路二段
青埔金融核心全新中悅ITC商辦,160000元,領航南路三段
阿華~內壢後站莊敬路永福路黃金店面,32000元,自立三街
時尚苑2房車,25800元,青峰路二段
**超新開案**華勛商圈大地坪透天2~3樓,25000元,仁德三街
中原獨立套房全新裝潢.一手入住.台水台電.可養寵.,13000元,協同街
中壢SOGO海華套房.捷運5分鐘✅拎包入住吃喝方便,13000元,環北路
中壢全新電梯透天,10000元,新生路
出租~~中壢民權路近古華花園飯店透天,20000元,民權路三段
中壢SOGO威尼斯套房✅浴缸.廚房.陽台.拎包入住,14000元,元化路
福容中壢京站兩房,17500元,新興路
出租將像社區兩大房,18000元,元化路
中壢體育園區旁大套房,14300元,龍慈路
A18新銳高樓層事務所,23000元,青心路
新潤A18精美1＋1房車,21000元,春德路
可租補可寵誠可議環東大街1+1房可長約,18000元,環中東路
青埔Ｍ＋漂亮三房,33500元,高鐵站前西路二段
中壢華勛優質美套房,8000元,功學新村
南亞科技大學套房,6000元,龍東路
中壢夜市公寓5+6樓大露臺,15000元,王子街
【森禾團隊】(租)青埔外圍套房,10000元,民溪七路
皇普園首之道3房車,27000元,青商路
世紀宮廷四房附車位,38000元,慈惠三街
中壢商學區美套房,7000元,興安街
中壢萬大整新套房出租,9000元,萬大路
站前新銳D9-7F美兩房車,27000元,青心路
中壢家樂福獨棟乙工廠房(可廠登,108000元,龍興路
